id,tweetID,coordinates,hashtags
2651274657,9.41E+17,,ForzaItalia
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
852324414,9.41E+17,,Donnarumma
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
350757083,9.41E+17,"11.6167,44.8333",accoglienza
471286017,9.41E+17,"10.99755,44.27397",felice
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
7.83E+17,9.41E+17,,Stanford
1076927112,9.41E+17,,barcatering
312204696,9.41E+17,,DepecheMode
3904556425,9.41E+17,"11.3514,44.5075",christmas
428521322,9.41E+17,"11.79824,44.15872",teatrinodelgiovedi
813235712,9.41E+17,"11.33924,44.5021",stigma
405720944,9.41E+17,,socialista
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
9.29E+17,9.41E+17,,italia
1416465541,9.41E+17,,banche
2921447206,9.41E+17,,renzi
866224644,9.41E+17,,YouTube
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
110715085,9.41E+17,"11.61930233,44.83738997",igersferrara
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
210459173,9.41E+17,,MrRobotSeason3
25015318,9.41E+17,,DepecheMode
198434499,9.41E+17,"11.3514,44.5075",videospot
1640940223,9.41E+17,"11.34319,44.49416",bynight
240229400,9.41E+17,"10.92352439,44.76082869",pes
4904268317,9.41E+17,,easycoop
527731761,9.41E+17,,damellis
420841718,9.41E+17,"10.7833,44.65",teamgughi
4784121426,9.41E+17,,20thCenturyFox
2891364136,9.41E+17,,Whistle
2400285224,9.41E+17,,Etruria
1648145288,9.41E+17,,TestamentoBiologico
560287307,9.41E+17,"11.34138889,44.49416667",picoftheday
418768723,9.41E+17,,followme
1648145288,9.41E+17,,Biotestamento
538921266,9.41E+17,,socialnetwork
71280561,9.41E+17,,BJJ
43504581,9.41E+17,,TombRaider
232908749,9.41E+17,,boschi
428220019,9.41E+17,"11.2489386,44.4858704",coverme
510256540,9.41E+17,,Pontifex
390774278,9.41E+17,"10.91992,44.63518",onlineextremeshopmodena
390774278,9.41E+17,"10.91992,44.63518",onlineextremeshopmodena
192039162,9.41E+17,,Canto
192039162,9.41E+17,,Canto
2835606882,9.41E+17,,newyork
155252781,9.41E+17,,bastascusedelgiornodopo
143006975,9.41E+17,,virtuspride
390774278,9.41E+17,"10.91992,44.63518",extremeshopmodena
1648145288,9.41E+17,,DAT
8.16E+17,9.41E+17,,LEAF
232908749,9.41E+17,,Consob
2409151982,9.41E+17,,SaintRoch
259418590,9.41E+17,"11.27642757,44.47774269",teatroarcobaleno
8.03E+17,9.41E+17,,Italia
2498950856,9.41E+17,,persone
510256540,9.41E+17,,Krusty
173992633,9.41E+17,,rpdr
510256540,9.41E+17,,Videogames
173992633,9.41E+17,,allstars3
2767256731,9.41E+17,,JensenAckles
2767256731,9.41E+17,,JensenAckles
2767256731,9.41E+17,,JensenAckles
265621778,9.41E+17,,diy
510256540,9.41E+17,,EuropeanUnion
2767256731,9.41E+17,,JensenAckles
1640940223,9.41E+17,,LaurentFignon
2767256731,9.41E+17,,JensenAckles
2767256731,9.41E+17,,JensenAckles
466802063,9.41E+17,"10.88584185,44.78416527",sirandrews
140766329,9.41E+17,"11.33946,44.4977",reading
187197577,9.41E+17,"11.30663,44.50709",dembow
36197388,9.41E+17,"11.34280826,44.49429135",nettuno
527731761,9.41E+17,,Bughead
250027158,9.41E+17,,BioTestamento
198434499,9.41E+17,"11,44.75",modena
1395104083,9.41E+17,,ottoemezzo
579891815,9.41E+17,,SamSmith
232908749,9.41E+17,,travaglio
173992633,9.41E+17,,xfactor2017
396104852,9.41E+17,,Boschi
22603117,9.41E+17,"11.34269714,44.49552576",hangover
25736116,9.41E+17,"11.34319,44.49416",bologna
30626248,9.41E+17,,EdSheeran
251213142,9.41E+17,,top
1006226514,9.41E+17,,biotestamento
811492981,9.41E+17,,LaStadaDiCasa
2605583645,9.41E+17,,xf11
25699306,9.41E+17,,nigiotti
4784121426,9.41E+17,,TeamDivano
4784121426,9.41E+17,,TeamDivano
1316910824,9.41E+17,,xf11
30626248,9.41E+17,,tizianoferro
2605583645,9.41E+17,,TizianoFerro
460497344,9.41E+17,"11.38644088,44.53084643",bologna
428521322,9.41E+17,"11.79824,44.15872",teatrinodelgiovedi
1316910824,9.41E+17,,xf11
2344083228,9.41E+17,,PaulRyan
453269927,9.41E+17,,xf11
25699306,9.41E+17,,SamuelStorm
857830398,9.41E+17,,SamuelStorm
389406704,9.41E+17,"11.29647732,44.49909192",photography
387043149,9.41E+17,,Renzi
