id,tweetID,coordinates,hashtags
472153028,9.41E+17,,meetup
278708054,9.41E+17,"4.76194429,52.30944443",ICDirect
1166383453,9.41E+17,"4.8932,52.3731",adorod
821885262,9.41E+17,,GielRoast
28081062,9.41E+17,,respect
1583075856,9.41E+17,,MCFC
2194738604,9.41E+17,"4.8951679,52.3702157",Amsterdam
25668422,9.41E+17,,proud
237194274,9.41E+17,"4.8841599,52.36909",bts
300805043,9.41E+17,"4.91738823,52.34836872",beerputnederland
19141015,9.41E+17,"4.76344345,52.31033595",lifeatpega
66981387,9.41E+17,,toppers
1055438346,9.41E+17,,boommarter
168489388,9.41E+17,"4.88969,52.37403",Systeem
825824173,9.41E+17,,Heineken
182353393,9.41E+17,,metoo
28387160,9.41E+17,"4.8716799,52.39944",stephanbodzin
21580763,9.41E+17,,shorttrackploeg
1166383453,9.41E+17,"4.8932,52.3731",throwbackthursday
72275940,9.41E+17,"4.8893233,52.3527439",toptopfoto
47361215,9.41E+17,,gezondheid
1166383453,9.41E+17,"4.8932,52.3731",zezijnalthuis
252569867,9.41E+17,"4.898056,52.374167",artist
315908130,9.41E+17,,Kerstmishetniet
315908130,9.41E+17,,Kerstmishetniet
2358120689,9.41E+17,,dockumercola
477843741,9.41E+17,"4.87972,52.35194",attibassilovers
35516924,9.41E+17,"4.90118,52.37807",amsterdam
1166383453,9.41E+17,"4.8932,52.3731",trndnl
1166383453,9.41E+17,"4.8932,52.3731",hagel
1166383453,9.41E+17,"4.8932,52.3731",throwbackthursday
191056056,9.41E+17,,faith
1055438346,9.41E+17,,boommarter
1166383453,9.41E+17,"4.8932,52.3731",trndnl
128643381,9.41E+17,"4.89144534,52.37297981",Royalty
128643381,9.41E+17,"4.89144534,52.37297981",Royalty
102798442,9.41E+17,,poloboots
182326370,9.41E+17,,VanWou
815968472,9.41E+17,,Geslaagd
278708054,9.41E+17,"4.76194429,52.30944443",ICDirect
21285772,9.41E+17,,Minicabrio
3248555283,9.41E+17,"4.85671,52.35789",amsterdamfood
1166383453,9.41E+17,"4.8932,52.3731",dividendbelasting
1166383453,9.41E+17,"4.8932,52.3731",dividendbelasting
1166383453,9.41E+17,"4.8932,52.3731",zltocongres
1166383453,9.41E+17,"4.8932,52.3731",trndnl
95499982,9.41E+17,,beeldschermblindheid
278708054,9.41E+17,"4.76194429,52.30944443",ICDirect
88685436,9.41E+17,"4.87396,52.32048",winteriscoming
